Filename;Hidden Content Present;Estimated Size of Hidden Content (Bytes);Speed Hidden Content Present (ms);Speed Size Estimation (ms);Speed Recovering Hidden Content (ms)
043955.png;True;154;0,78;8145,61;0,59
043967.png;True;155;0,78;8153,44;0,59
044051.png;True;154;0,79;8130,63;0,6
044059.png;True;158;0,8;8089,08;0,62
044079.png;True;154;0,78;8074,37;0,59
044129.png;True;154;0,82;8101,28;0,6
044209.png;True;444;0,94;8074,14;1,65
044292.png;True;142;0,79;8110,48;0,57
044363.png;True;150;0,78;8121,14;0,57
044446.png;True;155;0,79;8132,4;0,58
044488.png;True;121;0,78;8071,37;0,47
044543.png;True;123;0,78;8083,89;0,48
044575.png;True;158;0,79;8128,63;0,62
044611.png;True;121;0,78;8088,06;0,46
044647.png;True;574;0,78;8084,3;2,17
044742.png;True;111;0,78;8120,18;0,43
044946.png;True;155;0,79;8120,67;0,59
044955.png;True;155;0,78;8103,69;0,6
044974.png;True;157;0,78;8066,77;0,59
045037.png;True;443;0,79;8124,64;1,64
045046.png;True;226;0,78;8069,63;0,86
045092.png;True;425;0,81;8115,23;1,57
045131.png;True;82;0,79;8141,05;0,33
045213.png;True;202;0,78;8166,4;0,77
045239.png;True;228;0,78;8070,44;0,85
045356.png;True;157;0,79;8334,88;0,61
045510.png;True;132;0,84;8510,22;0,51
045526.png;True;155;0,79;8262,49;0,65
045557.png;True;123;0,85;8534,12;0,48
045628.png;True;154;0,81;8203,32;0,59
045652.png;True;502;0,79;8092,51;2,04
045676.png;True;135;0,79;8126,39;0,53
045717.png;True;227;0,79;8085,81;0,85
045732.png;True;230;0,79;8131,8;0,87
045871.png;True;456;0,79;8082,01;1,72
045891.png;True;154;0,78;8115,05;0,59
045916.png;True;153;0,8;8123,35;0,59
045940.png;True;154;0,78;8109,86;0,59
045943.png;True;127;0,79;8120,74;0,49
045950.png;True;154;0,79;8058,94;0,6
045969.png;True;222;0,8;8118,14;0,85
045972.png;True;155;0,81;8088,82;0,59
