Filename;Hidden Content Present;Estimated Size of Hidden Content (Bytes);Speed Hidden Content Present (ms);Speed Size Estimation (ms);Speed Recovering Hidden Content (ms)
046515.png;True;122;18,42;0,74;0,0
046516.png;True;421;16,87;1,87;0,0
046517.png;True;154;17,03;0,96;0,0
046518.png;True;154;17,03;0,96;0,0
046520.png;True;135;16,44;0,92;0,0
046522.png;True;155;16,36;0,92;0,0
046524.png;True;154;16,48;0,93;0,0
046525.png;True;133;16,62;0,73;0,0
046526.png;True;457;16,71;1,91;0,0
046527.png;True;137;16,67;0,93;0,0
046528.png;True;154;16,76;0,93;0,0
046529.png;True;446;16,83;1,83;0,0
046530.png;True;158;18,5;0,94;0,0
046531.png;True;145;16,95;0,95;0,0
046534.png;True;154;16,87;0,95;0,0
046535.png;True;228;16,64;1,16;0,0
046536.png;True;154;16,55;0,93;0,0
046537.png;True;155;16,51;0,93;0,0
046538.png;True;154;16,55;0,97;0,0
046539.png;True;140;16,55;0,92;0,0
046540.png;True;154;16,7;0,93;0,0
046541.png;True;155;16,46;0,93;0,0
046542.png;True;155;17,44;0,95;0,0
046543.png;True;442;17,57;1,87;0,0
046544.png;True;228;17,1;1,19;0,0
046545.png;True;135;19,38;0,93;0,0
046546.png;True;1053;19,06;3,82;0,0
046547.png;True;499;16,41;2,04;0,0
046548.png;True;499;16,45;2,05;0,0
046549.png;True;157;19,52;0,94;0,0
046550.png;True;157;19,09;0,98;0,0
046551.png;True;158;17,11;0,96;0,0
046552.png;True;154;16,83;0,95;0,0
046553.png;True;144;16,62;0,93;0,0
046554.png;True;155;16,45;0,93;0,0
046557.png;True;154;16,68;0,94;0,0
046558.png;True;123;16,8;0,73;0,0
046560.png;True;446;16,51;1,84;0,0
046561.png;True;128;16,63;0,72;0,0
046562.png;True;154;16,49;0,94;0,0
046564.png;True;154;16,42;0,94;0,0
046565.png;True;154;16,68;0,94;0,0
046566.png;True;500;17,16;2,08;0,0
046569.png;True;155;17,14;0,96;0,0
046572.png;True;224;16,93;1,2;0,0
046573.png;True;386;16,74;1,63;0,0
046574.png;True;111;16,72;0,72;0,0
046575.png;True;266;16,6;1,19;0,0
046576.png;True;228;16,7;1,16;0,0
046577.png;True;166;16,43;0,94;0,0
046578.png;True;150;16,64;0,93;0,0
046579.png;True;437;16,53;1,84;0,0
046580.png;True;223;16,59;1,16;0,0
046581.png;True;155;16,59;0,94;0,0
046582.png;True;154;16,77;0,96;0,0
046583.png;True;984;16,96;3,74;0,0
046584.png;True;155;16,88;0,96;0,0
046585.png;True;157;16,6;0,98;0,0
046586.png;True;446;16,76;1,93;0,0
046587.png;True;160;16,86;0,97;0,0
046588.png;True;447;16,77;1,85;0,0
046589.png;True;154;16,54;0,97;0,0
046590.png;True;228;16,62;1,16;0,0
046591.png;True;154;16,62;0,93;0,0
046592.png;True;158;16,54;0,94;0,0
